Timestamp,Status,Attention Score,DSI,Yawning
2026-06-08 02:23:10,DROWSY,12,HIGH RISK,False
2026-06-08 02:23:15,NORMAL,0,HIGH RISK,False
2026-06-08 02:23:20,NORMAL,8,HIGH RISK,False
2026-06-08 02:23:25,NORMAL,27,HIGH RISK,False
2026-06-08 02:23:30,NORMAL,61,WARNING,False
2026-06-08 02:23:35,NORMAL,66,WARNING,False
2026-06-08 02:23:40,NORMAL,47,HIGH RISK,False
2026-06-08 02:23:45,NORMAL,41,HIGH RISK,False
2026-06-08 02:23:51,NORMAL,25,HIGH RISK,False
2026-06-08 02:23:56,DROWSY,0,HIGH RISK,False
2026-06-08 02:24:01,NORMAL,5,HIGH RISK,False
2026-06-08 02:24:06,DANGER,0,HIGH RISK,False
2026-06-08 02:24:11,DANGER,0,HIGH RISK,False
2026-06-08 02:24:16,DANGER,0,HIGH RISK,False
2026-06-08 02:24:21,DANGER,0,HIGH RISK,False
2026-06-08 02:24:26,DANGER,0,HIGH RISK,False
2026-06-08 02:24:31,NORMAL,2,HIGH RISK,False
2026-06-08 02:24:36,NORMAL,17,HIGH RISK,False
2026-06-08 02:27:02,NORMAL,86,SAFE,False
2026-06-08 02:27:07,DROWSY,61,WARNING,False
2026-06-08 02:27:12,NORMAL,28,HIGH RISK,False
2026-06-08 02:27:18,NORMAL,53,WARNING,False
2026-06-08 02:27:23,NORMAL,60,WARNING,False
2026-06-08 02:27:28,NORMAL,95,SAFE,False
2026-06-08 02:27:33,NORMAL,90,SAFE,False
2026-06-08 02:27:38,NORMAL,30,HIGH RISK,False
2026-06-08 02:27:43,NORMAL,52,WARNING,False
2026-06-08 02:27:48,NORMAL,51,WARNING,False
2026-06-08 02:27:53,NORMAL,87,SAFE,False
2026-06-08 02:27:58,DROWSY,67,WARNING,False
2026-06-08 02:28:03,NORMAL,3,HIGH RISK,False
2026-06-08 02:28:08,NORMAL,0,HIGH RISK,False
2026-06-08 02:28:13,DANGER,0,HIGH RISK,False
2026-06-08 02:28:19,NORMAL,0,HIGH RISK,False
2026-06-08 02:28:24,NORMAL,0,HIGH RISK,False
2026-06-08 02:28:29,NORMAL,0,HIGH RISK,False
2026-06-08 02:28:34,NORMAL,32,HIGH RISK,False
2026-06-08 02:28:39,NORMAL,0,HIGH RISK,False
2026-06-08 02:28:44,NORMAL,17,HIGH RISK,False
2026-06-08 02:28:49,NORMAL,37,HIGH RISK,False
2026-06-08 02:28:54,NORMAL,24,HIGH RISK,False
2026-06-08 02:28:59,NORMAL,29,HIGH RISK,False
2026-06-08 02:29:04,NORMAL,46,HIGH RISK,False
2026-06-08 02:29:09,NORMAL,23,HIGH RISK,False
2026-06-08 02:29:14,NORMAL,11,HIGH RISK,False
2026-06-08 02:29:19,NORMAL,0,HIGH RISK,False
2026-06-08 02:29:24,MICRO-SLEEP,0,HIGH RISK,False
2026-06-08 02:29:29,NORMAL,0,HIGH RISK,False
2026-06-08 02:29:34,NORMAL,6,HIGH RISK,False
2026-06-08 02:29:39,NORMAL,5,HIGH RISK,False
2026-06-08 02:29:44,NORMAL,3,HIGH RISK,False
2026-06-08 02:29:49,NORMAL,2,HIGH RISK,False
2026-06-08 02:29:54,DROWSY,0,HIGH RISK,False
2026-06-08 02:29:59,NORMAL,11,HIGH RISK,False
2026-06-08 02:30:04,NORMAL,44,HIGH RISK,False
2026-06-08 02:30:09,NORMAL,79,WARNING,False
2026-06-08 02:30:14,NORMAL,96,SAFE,False
2026-06-08 02:30:20,NORMAL,73,WARNING,False
2026-06-08 02:30:25,NORMAL,45,HIGH RISK,False
2026-06-08 02:30:30,NORMAL,62,WARNING,False
2026-06-08 02:30:35,NORMAL,65,WARNING,False
2026-06-08 02:30:40,DROWSY,40,HIGH RISK,False
2026-06-08 02:30:45,NORMAL,3,HIGH RISK,False
2026-06-08 02:30:50,DROWSY,0,HIGH RISK,False
2026-06-08 02:30:55,NORMAL,1,HIGH RISK,False
2026-06-25 15:19:33,NORMAL,100,SAFE,False
2026-06-25 15:19:38,NORMAL,100,SAFE,False
2026-06-25 15:19:43,NORMAL,100,SAFE,False
2026-06-25 15:19:48,NORMAL,100,SAFE,False
2026-06-25 15:19:53,NORMAL,100,SAFE,False
2026-06-25 15:19:58,NORMAL,100,SAFE,False
2026-06-25 15:20:03,NORMAL,100,SAFE,False
2026-06-25 15:20:08,NORMAL,100,SAFE,False
2026-06-25 15:20:13,NORMAL,99,SAFE,False
2026-06-25 15:20:18,NORMAL,83,SAFE,False
2026-06-25 15:20:23,NORMAL,99,SAFE,False
2026-06-25 15:20:28,NORMAL,98,SAFE,False
2026-06-25 15:20:34,NORMAL,97,SAFE,False
2026-06-25 15:20:39,NORMAL,98,SAFE,False
2026-06-25 15:20:45,NORMAL,100,SAFE,False
2026-06-25 15:20:50,NORMAL,100,SAFE,False
2026-06-25 15:20:55,NORMAL,100,SAFE,False
2026-06-25 15:21:00,NORMAL,96,SAFE,False
2026-06-25 15:21:05,NORMAL,92,SAFE,False
2026-06-25 15:21:10,NORMAL,100,SAFE,False
2026-06-25 15:21:15,NORMAL,100,SAFE,False
2026-06-25 15:21:20,NORMAL,99,SAFE,False
2026-06-25 15:21:25,NORMAL,91,SAFE,False
2026-06-25 15:21:30,NORMAL,55,WARNING,False
2026-06-25 15:21:35,NORMAL,29,HIGH RISK,False
2026-06-25 15:21:40,NORMAL,2,HIGH RISK,False
2026-06-25 15:21:45,NORMAL,5,HIGH RISK,False
2026-06-25 15:21:50,NORMAL,6,HIGH RISK,False
2026-06-25 18:55:19,NORMAL,100,SAFE,False
2026-06-25 18:55:24,NORMAL,100,SAFE,False
2026-06-25 18:55:29,NORMAL,100,SAFE,False
2026-06-25 19:17:20,NORMAL,99,SAFE,False
2026-06-25 19:19:55,NORMAL,100,SAFE,False
2026-06-25 19:19:56,NORMAL,100,SAFE,False
2026-06-25 19:20:00,NORMAL,100,SAFE,False
2026-06-25 19:20:01,NORMAL,100,SAFE,False
2026-06-25 19:20:17,NORMAL,96,SAFE,False
2026-06-25 19:20:19,NORMAL,96,SAFE,False
2026-06-25 19:20:59,NORMAL,100,SAFE,False
